Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_963669245.1,dhQueCerr2.1,Quercus cerris,39468,,,,,,,,777389709,12,Chromosome,12/9/23,CAVLGZ01,27
GCA_031216405.1,ASM3121640v1,Syzygium malaccense,219892,,,,,ZT-00170996,,,429836287,11,Chromosome,9/7/23,JASUUE01,23
GCA_958295605.1,daAjuCham1.1,Ajuga chamaepitys,49984,,,,,,,,891563074,14,Chromosome,7/6/23,CATQIP01,58
GCA_030015575.1,ASM3001557v1,Agapanthus africanus,51501,,,,,Aga51501,,,20168172258,15,Chromosome,5/16/23,JASDDO01,336
GCA_025506415.1,ASM2550641v1,Flaveria robusta,163089,,,,,s2016T-1,,,551455089,18,Chromosome,10/2/22,JACCIZ01,468
GCA_951394345.1,dcSalRamo1.1,Salicornia ramosissima,267548,,,,,,,,529111255,9,Chromosome,6/15/23,CATOBK01,18
GCA_039657325.1,ASM3965732v1,Stephania cephalantha,152367,,,,,JXDWG,,Annotation submitted by Chengdu University of Traditional Chinese Medicine,743000645,13,Chromosome,5/17/24,JBBNAG01,18
GCA_954870985.1,drTriFrag1.1,Trifolium fragiferum,97023,,,,,,,,511977185,8,Chromosome,7/14/23,CATOZQ01,19
GCA_036320875.1,ASM3632087v1,Cotoneaster glaucophyllus,1125981,,,,,Fan17545,,,563292685,17,Chromosome,1/31/24,JAVVNS01,104
GCA_031216105.1,Dcul_1.0,Dalbergia cultrata,862910,,,,,GSW-2023d,,,645983249,10,Chromosome,9/8/23,JAVHNL01,628
GCA_008009225.1,AYv1.1,Acer yangbiense,1000413,,,,Malutang,Malutang-1-2009seedling,,Annotation submitted by Ori-Gene Co. Ltd.,664928911,13,Chromosome,8/23/19,VAHF01,278
GCA_023614405.1,ASM2361440v1,Avena insularis,283872,,,CN 108634,,,,,7519203740,14,Chromosome,6/2/22,JAJUPC01,879
GCA_946800325.1,lpLuzSylv1.1,Luzula sylvatica,59018,,,,,,,,444535728,6,Chromosome,9/15/22,CAMPEJ01,36
GCA_964106935.1,drHydVulg1.hap1.1,Hydrocotyle vulgaris,82091,,,,,,,,870397211,48,Chromosome,6/6/24,CAXKYV01,331
GCA_029378325.1,ASM2937832v1,Elaeagnus macrophylla,796727,,,wild type5,,,pooled male and female,,532308037,14,Chromosome,3/28/23,JARDWI01,251
GCA_963210345.1,drIngOers1.1,Inga oerstediana,486073,,,,,,,,970582722,13,Chromosome,8/19/23,CAUJKP01,31
GCA_019705995.1,IVFCAAS_Rs10_1.0,Raphanus raphanistrum x Raphanus sativus,1028570,,,,,RS10,,,488876237,9,Chromosome,8/25/21,JADEVD01,95
GCA_958450335.1,ddHibTrid2.1,Hibiscus tridactylites,2862204,,,,,,,,2584164107,28,Chromosome,7/18/23,CAUDLX01,296
GCA_019359835.1,ASM1935983v1,Pharus latifolius,38686,,,,,CRB341,,,1002922384,12,Chromosome,7/27/21,JAEVLQ01,121
GCA_963921825.1,drEroMari8.1,Erodium maritimum,337391,,,,,,,,762646897,9,Chromosome,1/12/24,CAWUGU01,39
GCA_910589765.1,Avena_atlantica_CC7277_v1_assembly,Avena atlantica,366594,,,CC7277,,,,,3685054491,7,Chromosome,9/22/22,CAJUWN01,2195
GCA_963422505.1,daPseLute1.1,Pseudognaphalium luteoalbum,59425,,,,,,,,881348296,7,Chromosome,9/12/23,CAUJSE01,63
GCA_963921325.1,daLogMini1.1,Logfia minima,702255,,,,,,,,544901426,15,Chromosome,1/8/24,CAWUFI01,230
GCA_035048495.1,Epl_v1.0,Euptelea pleiosperma,106141,,,,,Xiang20200601(PE),,,613383055,14,Chromosome,1/4/24,JASUTR01,248
GCA_964016875.1,dcFalConv1.1,Fallopia convolvulus,76029,,,,,,,,1241754740,20,Chromosome,3/22/24,CAXHJU01,138
GCA_033220585.1,ASM3322058v1,Dipteronia sinensis,43782,,,,,NBL,,Annotation submitted by Zhejiang University,711048948,10,Chromosome,11/3/23,JANJYJ01,997
GCA_031470985.1,ASM3147098v1,Agastache rugosa,39271,,,,,AR01,,,410677362,9,Chromosome,9/15/23,JASGBZ01,30
GCA_036172225.1,ASM3617222v1,Cryptocoryne crispatula var. balansae,267619,,,,,ZQ-2023,,,801664786,18,Chromosome,1/26/24,JAYDZW01,79
GCA_031770325.1,CAF_BolPas_1.0,Bolboschoenus planiculmis,651555,,,,Beijing Changgou,BolPas_CAF,,,237960565,54,Chromosome,9/22/23,JARDWJ01,147
GCA_963457585.1,dcSpeBocc1.1,Spergularia bocconei,1053398,,,,,,,,466152782,18,Chromosome,9/20/23,CAUOPT01,46
GCA_025594145.1,ASM2559414v1,Primulina tabacum,48773,,,,,GXHZ01,,,804232818,18,Chromosome,10/6/22,JAGSQV01,669
GCA_963573325.1,drAstGlyc1.1,Astragalus glycyphyllos,83862,,,,,,,,680278737,8,Chromosome,10/29/23,CAUYRD01,17
GCA_964059555.1,drTriOcci1.hap1.1,Trifolium occidentale,74524,,,,,,,,577810552,8,Chromosome,6/6/24,CAXKXK01,68
GCA_951804385.1,drTriDubi3.1,Trifolium dubium,97021,,,,,,,,679057308,15,Chromosome,6/1/23,CATORC01,153
GCA_963920545.1,ddLepDidy1.1,Lepidium didymum,398450,,,,,,,,345116760,16,Chromosome,12/23/23,CAWUCG01,438
GCA_963995505.1,ddHypAndr1.1,Hypericum androsaemum,140968,,,,,,,,384544957,20,Chromosome,3/17/24,CAXEFN01,24
GCA_023512835.1,ASM2351283v1,Taxillus chinensis,227909,,,,,SW_2021,,,521908327,9,Chromosome,5/25/22,JAKCVP01,434
GCA_035079005.1,ASM3507900v1,Fraxinus americana,38872,,,,,ZL-2020,,,877466884,23,Chromosome,1/5/24,JAVHZT01,305
GCA_963922005.1,drCorSuec2.1,Cornus suecica,164435,,,,,,,,849171379,11,Chromosome,2/9/24,CAWUHQ01,89
GCA_963691705.1,ddVioOdor1.1,Viola odorata,97441,,,,,,,,698621013,10,Chromosome,12/6/23,CAVNVC01,25
GCA_964056655.1,ddAraHirs1.hap1.1,Arabis hirsuta,78191,,,,,,,,582665844,16,Chromosome,5/17/24,CAXKTA01,22
GCA_964145215.1,ddCalVulg4.hap2.1,Calluna vulgaris,13385,,,,,,,,520423034,8,Chromosome,6/6/24,CAXLBF01,152
GCA_020205555.1,ASM2020555v1,Panax stipuleanatus,44682,,,,,WZH-0001,,,1965478827,12,Chromosome,10/4/21,JAINUT01,3092
GCA_963555745.1,ddCarFlex1.1,Cardamine flexuosa,50462,,,,,,,,204540175,8,Chromosome,10/6/23,CAUVXD01,227
GCA_019916065.1,ASM1991606v1,Vitellaria paradoxa,292385,,,,,KA01,,,667213145,12,Chromosome,9/9/21,JAINTL01,109
GCA_031216235.1,ASM3121623v1,Syzygium jambos,334483,,,,,ZT-00170999,,,426159599,11,Chromosome,9/7/23,JASUUC01,117
GCA_022405105.1,ASM2240510v1,Aristolochia contorta,266420,,,,,Aco_MBG_1,,,210540771,7,Chromosome,3/4/22,JAHZSQ01,84
GCA_963682095.1,drPotSter1.1,Potentilla sterilis,644184,,,,,,,,744311127,14,Chromosome,12/7/23,CAVMKK01,250
GCA_028551485.1,ASM2855148v1,Casuarina cunninghamiana,29737,,,,,YG_2022c,,,293483606,9,Chromosome,2/8/23,JAKISD01,45
GCF_008831285.2,ASM883128v2,Nymphaea colorata,210225,,,,,Beijing-Zhang1983,,NCBI Nymphaea colorata Annotation Release 101,408118238,14,Chromosome,8/1/22,VYXN01,784
GCA_013350335.1,ASM1335033v1,Chimonanthus salicifolius,2855397,,,,,LYLM-1,,,853434300,11,Chromosome,6/18/20,JAAGOE01,689
GCA_964030465.2,lpUroDecu1.1,Urochloa decumbens,240449,,,,,,,Annotation submitted by Earlham Institute,2879772915,36,Chromosome,6/10/24,CAXIPR02,7122
GCA_019426215.1,BAv1.1,Buddleja alternifolia,168488,,,,,LA-IB0,,Annotation submitted by Ori-Gene Co. Ltd.,853114234,19,Chromosome,7/30/21,WHWC01,437
GCA_030180135.1,ASM3018013v1,Orychophragmus violaceus,71234,,,wuhan ov,,,,,1253447858,12,Chromosome,6/12/23,JARLSZ01,76
GCA_963678935.1,drUmbRupe1.1,Umbilicus rupestris,91168,,,,,,,,352162055,25,Chromosome,12/6/23,CAVMBX01,29
GCA_963920785.1,csSphCont2.1,Sphagnum contortum,128191,,,,,,,,371715723,20,Chromosome,12/25/23,CAWUCS01,302
GCA_951800085.1,drComPalu1.1,Comarum palustre,57932,,,,,,,,528886950,21,Chromosome,5/27/23,CATOHN01,86
GCA_040143895.1,PSU_Psup_1,Poa supina,289064,,,,,PSU_sprnv_2023,,,648010102,7,Chromosome,6/12/24,JARFVL01,63
GCA_011420285.2,BTI_Eche2.0,Erysimum cheiranthoides,330168,,,Elbtalaue,,,,,173917271,8,Chromosome,2/26/24,VWOI02,131
GCA_022965805.1,ASM2296580v1,Primulina eburnea,1245227,,,,,SZY01,,,812379215,18,Chromosome,4/13/22,JAGGRQ01,1224
GCA_016801395.1,O1,Leptodermis oblonga,1616479,,,,Beijing,Rui-Jiang Wang 3514,,,497295157,11,Chromosome,2/4/21,VMRK01,607
GCA_019022515.1,ASM1902251v1,Quercus aquifolioides,1495044,,,,,Qaqu01.1,,,926487586,12,Chromosome,6/24/21,JAFHAW01,292
GCA_012295165.1,ASM1229516v1,Asparagus setaceus,272863,,,Pyramidalis,,,,,710151787,10,Chromosome,4/15/20,WHSE01,665
GCA_910589775.1,Avena_eriantha_BYU132_v1_assembly,Avena eriantha,146534,,,BYU132,,,,,3777787481,7,Chromosome,9/22/22,CAJUXJ01,2652
GCA_008932095.1,ASM893209v1,Pyrus ussuriensis x Pyrus communis,2448454,,,Zhongai 1,,S2,,Annotation submitted by Research Institute of Pomology Chinese Academy of Agricultural Sciences,510637391,17,Chromosome,10/11/19,SMOL01,785
GCA_025200525.1,XYYC_v1.0,Camellia lanceoleosa,1840588,,,,,SQ_2022a,,Annotation submitted by Central South University of Forestry and Technology,2999357698,15,Chromosome,9/14/22,JANUSC01,790
GCA_963576765.1,ddDraInca1.1,Draba incana,311941,,,,,,,,667844151,16,Chromosome,11/3/23,CAUYWE01,474
GCA_030844895.1,AAC_Ahel_1.0.Atri_hap2,Ambrosia x helenae,3045818,,,,,EP-2020a,,,2027615737,12,Chromosome,8/21/23,JAUTDX01,7528
GCA_963920665.1,cbStrStra4.1,Straminergon stramineum,249548,,,,,,,,326253176,11,Chromosome,12/25/23,CAWUCR01,367
GCA_963920655.1,drGerRotu1.1,Geranium rotundifolium,379955,,,,,,,,496995860,13,Chromosome,12/25/23,CAWUCU01,496
GCA_025506515.1,ASM2550651v1,Flaveria trinervia,4227,,,,,s2016s-1,,,1803193255,18,Chromosome,10/2/22,JACCIX01,1616
GCA_963921925.1,csSphTene1.1,Sphagnum tenellum,128247,,,,,,,,382797331,19,Chromosome,2/9/24,CAWUHI01,388
GCA_019425755.1,ASM1942575v1,Amaranthus cruentus,117272,,,Arusha,,,,,370913848,17,Chromosome,7/30/21,JAGPNP01,625
GCA_034768395.1,NDSU_LiLewi_1.0,Linum lewisii,586382,,,Maple Grove,,,,,643027469,9,Chromosome,12/29/23,JAVBHU01,1708
GCA_954870605.1,drAceCamp1.1,Acer campestre,66205,,,,,,,,565085850,14,Chromosome,7/14/23,CATOZR01,266
GCA_018257905.1,V1,Gillenia trifoliata,141003,,,,New Zealand,NNPM170011,,,296280550,9,Chromosome,5/4/21,JAEHOF01,1262
GCA_951230915.1,cbAntCurt1.1,Antitrichia curtipendula,100465,,,,,,,,400507149,10,Chromosome,5/11/23,CATNWC01,337
GCA_016920895.1,VacMyr_v1.0,Vaccinium myrtillus,180763,,,,North-Norwegian,NK2018,,,524292997,12,Chromosome,2/23/21,JADGMU01,1418
GCF_029867415.1,Vvil1.0,Vicia villosa,3911,,,HV-30,"Madison, WI",,,GCF_029867415.1-RS_2023_08,2034988852,7,Chromosome,4/26/23,JAROZA01,1888
GCA_963920765.1,cbUloCris4.1,Ulota crispa,140636,,,,,,,,274989404,11,Chromosome,12/25/23,CAWUCP01,408
GCA_018703695.1,JKI_Pf_1.0,Prunus fruticosa,151433,,,,Harmashatarhegy,JH20200508,,,375294239,8,Chromosome,6/3/21,JAHHUK01,57
GCA_029204005.1,ASM2920400v1,Salix udensis,889485,,,04-BN-051,,,male,Annotation submitted by Cornell University,315873059,19,Chromosome,3/14/23,JAPFFJ01,1157
GCA_032356905.1,Salix_exigua_SE967M,Salix exigua,77062,,,,,SE967M,,,339212153,19,Chromosome,10/6/23,JAVHLS01,89
GCA_029228605.1,ASM2922860v1,Salix koriyanagi,2511006,,,SH3,,,female,Annotation submitted by Cornell University,339126720,19,Chromosome,3/20/23,JAPFFM01,1914
GCA_963920575.1,ldNarOssi1.1,Narthecium ossifragum,114204,,,,,,,,378871027,13,Chromosome,12/23/23,CAWUCF01,156
GCA_014858505.1,Ccitriodora_v2_1,Corymbia citriodora subsp. variegata,360336,,,,,CV2-018,,Annotation submitted by DOE Joint Genome Institute,544191601,11,Chromosome,10/21/20,JABURB01,15033
GCA_025413485.1,ASM2541348v1,Ficus microcarpa,66385,,,,Xishuangbanna,Fm_1,,,426563229,13,Chromosome,9/28/22,JAINRI01,738
GCA_029228515.1,Populus_alba_x_berolinensis.Group_A.v1.2,Populus alba x Populus x berolinensis,444605,,,,,SC-2020,,Annotation submitted by Northeast Forestry University,532369601,19,Chromosome,3/20/23,JAQIZT01,1960
GCA_006937295.1,ASM693729v1,Carpinus fangiana,176857,,,,,Cfa_2016G,,Annotation submitted by Lanzhou University,381948906,8,Chromosome,7/29/19,VIBQ01,4602
GCA_023333625.1,ASM2333362v1,Bothriochloa decipiens,883134,,,,Australia,COB1_7,,,1213273491,20,Chromosome,5/12/22,JALGXP01,14671
GCF_029784015.1,AGI_CSIRO_Lferr_CH_V1,Lycium ferocissimum,112874,,,,,CSIRO_LF1,,GCF_029784015.1-RS_2023_09,1219357132,12,Chromosome,4/18/23,JARBDQ01,14905
GCA_013407115.1,G.lat_10XGenomicsChromium.v1,Glycine latifolia,45691,,,,,,,,939492075,20,Chromosome,7/14/20,QARZ01,41124
GCA_000325765.3,Lperr_V1.4,Leersia perrieri,77586,,,,,,,,266687832,12,Chromosome,2/21/14,ALNV02,12
GCA_009746105.1,ASM974610v1,Rhododendron williamsianum,262921,,,,,RSF 1966-606,,Annotation submitted by University of Washington,532293122,13,Chromosome,12/13/19,QEFC01,11985
GCA_004027125.1,Gothu_v1,Gossypium thurberi,34273,,,,,35,,,582006748,13,Chromosome,1/16/19,RCOT01,15297
GCA_013677245.1,ASM1367724v1,Gossypium davidsonii,34287,,,,,27,,Annotation submitted by Mississippi State University,704223819,13,Chromosome,9/3/20,JABFAC01,314795
GCA_013677255.1,ASM1367725v1,Gossypium harknessii,34285,,,,,0,,Annotation submitted by Mississippi State University,732154658,13,Chromosome,9/3/20,JABFAD01,373839
GCA_020567845.1,ASM2056784v1,Rhododendron henanense subsp. lingbaoense,2488266,,,,,R.LB,,,634288283,13,Chromosome,11/4/21,JACVWM01,300
GCA_040285675.1,Osph-v2.3,Ophrys sphegodes subsp. sphegodes,443042,,,,"Capoiale, South Italy",SPH_8,,,5219656162,19,Chromosome,6/24/24,JBANGT01,1499
GCA_036936925.1,ASM3693692v1,Cenchrus fungigraminus,2981182,,,JUJUNCAO,,,,,1982127367,14,Chromosome,3/1/24,JAQONI01,96
GCA_040144145.1,PSU_Pinf_1,Poa infirma,165094,,,,,PSU_fei_2023,,,1151728964,7,Chromosome,6/12/24,JARFVM01,731
GCA_040182985.1,ASM4018298v1,Lithocarpus litseifolius,425828,,,,,Zhou-2022a,,"Annotation submitted by Institute of Chinese Materia Medica, China Academy of Chinese Medicine Sciences",963782541,12,Chromosome,6/14/24,JAZDWU01,322
GCA_039764185.1,ASM3976418v1,Tamarix austromongolica,262213,,,,,Wild Individual_Ranguo,,,1327451378,12,Chromosome,5/22/24,JBDNDU01,511
GCA_038501285.1,BYU_p_eatonii_888,Penstemon eatonii,388140,,,,,KT-2024a,,,626186266,8,Chromosome,4/29/24,JBCEGF01,1346
GCA_040181865.1,BTMC_D.rupestre_1.0,Dracocephalum rupestre,587660,,,YanQinglan,,,,,435418314,7,Chromosome,6/12/24,JBDOCY01,211
GCA_030864215.1,ASM3086421v1,Capsicum pubescens,113210,,,Grif_1614,,,,,3927439990,12,Chromosome,8/25/23,JARBSX01,73
GCA_037074495.1,ASM3707449v1,Acacia confusa,3809,,,,,TWXS-agis,,,563995685,13,Chromosome,3/13/24,JAYMNN01,168
GCA_963921465.1,WRC_timopheevii_genome_with_organelles,Triticum timopheevii,4570,,,,,,,,9350839849,14,Chromosome,1/13/24,CAWUFU02,1670
GCA_030378225.1,ASM3037822v1,Knoxia roxburghii,1905575,,,,Chuxiong,Krox-001,,,446303736,10,Chromosome,6/30/23,JAUECX01,16
GCA_039657365.1,ASM3965736v1,Stephania yunnanensis,152371,,,,,YNDBR,,Annotation submitted by Chengdu University of Traditional Chinese Medicine,812197772,13,Chromosome,5/17/24,JBBNAF01,61
GCA_024500155.1,ASM2450015v1,Chenopodium formosanum,1640932,,,,Red,Tai-2,,,1629754520,27,Chromosome,8/3/22,JAMXMD01,798
GCA_949775105.1,Ocorymbosa-M15.v1,Oldenlandia corymbosa var. corymbosa,529605,,,,,,,Annotation submitted by nanyang technological university,273711991,9,Chromosome,4/7/23,CATKSE01,10
GCA_028671895.1,ASM2867189v1,Oenanthe sinensis,305802,,,,,SQ-2022,,,1244871860,21,Chromosome,2/21/23,JAPMAC01,234
GCA_030544415.1,ASM3054441v1,Thalia dealbata,210077,,,,,SZY,,,255049420,8,Chromosome,8/8/23,JARKGZ01,78
GCA_037954105.1,Cgla_1,Canavalia gladiata,3824,,,,,LVBAO_FW01,,Annotation submitted by Agricultural Genomics Institute at Shenzhen,614525652,11,Chromosome,4/4/24,JAYMYQ01,102
GCA_028017165.1,ASM2801716v1,Herpetospermum pedunculosum,386182,,,,,11,,,804056966,10,Chromosome,1/31/23,JAPQWQ01,189
GCA_964187925.1,ddCorAlbu.pri,Corema album,199168,,,,,,,,548232794,13,Chromosome,6/21/24,CAXLNL01,66
GCA_027725995.1,MPIPZ_rhyTen1m_1,Rhynchospora tenuis,198213,,,,,rhyTen1mFocal,,Annotation submitted by Max-Planck institute for plant breeding research,397748660,2,Chromosome,1/12/23,JAMRDG01,1635
GCA_030848705.1,IITP_Hsosn_ver7,Heracleum sosnowskyi,360622,,,,,Hsosn_3,,Annotation submitted by Institute for Information Transmission Problems,1629177483,11,Chromosome,8/22/23,JAUIZM01,383
GCA_039657345.1,ASM3965734v1,Stephania japonica,461633,,,,,QJT,,Annotation submitted by Chengdu University of Traditional Chinese Medicine,643419807,11,Chromosome,5/17/24,JBBNAE01,50
GCA_027563935.2,ASM2756393v2,Costus lasius,328769,,,,,GH#126,,,1280867359,9,Chromosome,4/18/24,JANVAS02,278
GCA_963930655.1,dhMyrGale1.1,Myrica gale,29739,,,,,,,,643765905,24,Chromosome,1/31/24,CAWVNL01,25
GCA_021018995.1,ASM2101899v1,Chloranthus sessilifolius,146544,,,,,YY-2021,,,2168745836,15,Chromosome,12/2/21,JAJIZI01,32
GCA_036346355.1,KIB_Rrac_1,Rhipidocladum racemiflorum,464972,,,,,GZH05,,,1711783300,24,Chromosome,2/2/24,JAYEVF01,134
GCA_963556525.1,C_excelsa_V5,Cochlearia excelsa,157165,,,,,,,,310488619,6,Chromosome,10/17/23,CAUVZT01,121
GCA_039657385.1,ASM3965738v1,Citrus x changshan-huyou,2935761,,,,,14-Jan,,Annotation submitted by Zhejiang University,323511213,9,Chromosome,5/17/24,JBCGBO01,26
GCA_031216115.1,Ssia_1.0,Senna siamea,346999,,,,,GSW-2023e,,,437293135,14,Chromosome,9/8/23,JAVHNK01,220
GCA_946000715.1,VITVixKober5BB_v1.0,Vitis cinerea var. helleri x Vitis riparia,152274,,,,,,,,1018422309,38,Chromosome,11/17/22,CAMFZD01,130
GCA_946000675.1,VITVix101-14Mgt_v1.0,Vitis riparia x Vitis rupestris,152275,,,,,,,,1021090201,38,Chromosome,11/17/22,CAMFZC01,565
GCA_036346145.1,KIB_Olat_2,Olyra latifolia,38716,,,,,14001,,,639189835,11,Chromosome,2/2/24,JAYEVC01,43
GCA_028095005.1,MPIPZ_rhyPub2m_2.0,Rhynchospora pubera,906938,,,,,rhyPub2mFocal,,Annotation submitted by Max-Planck institute for plant breeding research,1694853883,5,Chromosome,1/31/23,JAMFTS01,8494
GCA_033675395.1,ASM3367539v1,Rhodiola chrysanthemifolia,202998,,,,,RCYN01_Illumina,,,402438206,7,Chromosome,11/15/23,JAUDRI01,568
GCA_036898215.1,ASM3689821v1,Platycarya strobilacea,91224,,,,wild,PZ-2024a,,,688119128,15,Chromosome,2/28/24,JBAJGX01,92
GCA_964030455.1,Ltrigynum_genome,Linum trigynum,586398,,,,,,,Annotation submitted by Stockholm University,498043431,10,Chromosome,5/4/24,CAXIPQ01,15
GCA_037113605.1,CS_V1,Calophaca sinica,1641257,,,,,HZ-2024a,,,1058474203,8,Chromosome,3/13/24,JBAFXK01,95
GCA_016097545.1,ASM1609754v1,Eucalyptus victrix,1230916,,,,,CCA1033,,,557158857,11,Chromosome,12/17/20,JADPVS01,19
GCA_031439585.1,Pmac_1.0,Pterocarpus macrocarpus,108278,,,,,GSW-2023b,,,634581834,10,Chromosome,9/14/23,JAVHNN01,582
GCA_964106765.1,dcMoeTrin1.hap1.1,Moehringia trinervia,169227,,,,,,,,1244268398,12,Chromosome,6/6/24,CAXKZA01,252
GCA_037179405.1,UCR_Fairchild_v1.0,Citrus clementina x Citrus x tangelo,1928916,,,fairchild,,TO-2024a,,,365042596,9,Chromosome,3/18/24,JAZBEX01,184
GCA_039877755.1,ASM3987775v1,Apocynum pictum,377126,,,Schrenk,,,,,225320346,11,Chromosome,5/29/24,JBDLPE01,26
GCA_964059625.1,daJasMont1.hap1.1,Jasione montana,239452,,,,,,,,1282032516,6,Chromosome,6/6/24,CAXKXQ01,448
GCA_963930675.1,daGnaUlig1.1,Gnaphalium uliginosum,702247,,,,,,,,354384338,7,Chromosome,1/31/24,CAWVNS01,117
GCA_036321655.1,ASM3632165v1,Quercus alba,3513,,,,"USA: Marion, Kentucky",MM1,,,794470935,12,Chromosome,1/31/24,JAYJMT01,417
GCA_963969395.1,cbPsePuru1.1,Pseudoscleropodium purum,80891,,,,,,,,318261484,11,Chromosome,2/27/24,CAXAKI01,273
GCA_964014455.1,csSphJens1.h2.1,Sphagnum jensenii,128206,,,,,,,Annotation submitted by ELIXIR Norway,411508223,19,Chromosome,6/18/24,CAXHBF01,630
GCA_030064385.1,Mqui_v1_hapA,Melaleuca quinquenervia,164942,,,,,NSW1078661,,,269244392,11,Chromosome,5/24/23,JAPVXF01,196
GCA_025698515.1,ASM2569851v1,Gossypium sturtianum,34278,,,,,GPC1lz,,,1903576288,13,Chromosome,10/17/22,JAOWAD01,122
GCA_963970355.1,csSphTroe1.h2.1,Sphagnum troendelagicum,128251,,,,,,,Annotation submitted by ELIXIR Norway,378392600,19,Chromosome,6/18/24,CAXANX01,63
GCA_014182725.1,ASM1418272v1,Eucalyptus brandiana,2654256,,,,,CCA5702,,,507080314,11,Chromosome,8/14/20,JABKBQ01,24
GCA_963966055.1,drLatApha1.1,Lathyrus aphaca,3854,,,,,,,,4252398850,7,Chromosome,2/11/24,CAWYPZ01,286
GCA_017140165.1,ASM1714016v1,Eucalyptus shirleyi,1234624,,,,,CCA3339,,,597179277,11,Chromosome,3/9/21,JADGRX01,13
GCA_964187755.2,ysh_2023,Helwingia omeiensis,2021390,,,,,Yeshanghua,,,2748316618,19,Chromosome,6/21/24,CAXLMX02,1584
GCA_964058835.1,lpCarRost1.1,Carex rostrata,241230,,,,,,,,382330667,35,Chromosome,6/5/24,CAXKVL01,102
GCA_900464855.2,mschizocarpa_assembly_v2,Musa schizocarpa,52706,,,,,,,,525283493,34,Chromosome,11/2/20,UBIG03,194
GCA_017140475.1,ASM1714047v1,Eucalyptus fibrosa,1711299,,,,,CCA0770,,,589911834,11,Chromosome,3/9/21,JADGSC01,15
GCA_036346265.1,KIB_Mbac_1,Melocanna baccifera,104005,,,,,GZH09,,,1077066268,35,Chromosome,2/2/24,JAYEVJ01,443
GCA_016097485.1,ASM1609748v1,Eucalyptus sideroxylon x Eucalyptus melliodora,2660567,,,,,CCA1506,,,603574748,11,Chromosome,12/17/20,JADPVR01,25
GCA_029379335.1,ASM2937933v1,Thymus mandschuricus,532139,,,,,JL-2020,,,587059534,13,Chromosome,5/9/23,JAQSCN01,80
GCA_902729315.2,Spirodela_intermedia_8410_2,Spirodela intermedia,51605,,,,,,,Annotation submitted by Leibniz Institute of Plant Genetics and Crop Plant Research,136679681,18,Chromosome,11/2/20,CACVBZ02,70
GCA_964035585.1,cbPolForo1.1,Polytrichum formosum,41836,,,,,,,,488535633,7,Chromosome,4/29/24,CAXIVC01,378
GCA_964059535.1,daTraPrat1.hap1.1,Tragopogon pratensis,41653,,,,,,,,2070495301,6,Chromosome,6/6/24,CAXKXJ01,499
GCA_964188195.1,daFilLute1.hap1.1,Filago lutescens,702235,,,,,,,,648445603,14,Chromosome,6/21/24,CAXLOM01,146
GCA_014182405.2,ASM1418240v2,Eucalyptus sideroxylon,1541731,,,,,ANBG750609.225,,,592116214,11,Chromosome,3/20/24,JABKBF02,86
GCA_964059565.1,daLamAmpl1.hap1.1,Lamium amplexicaule,53160,,,,,,,,521588801,9,Chromosome,6/6/24,CAXKXL01,261
GCA_034703905.1,C.berlandieri_1.0,Chenopodium berlandieri,345311,,,BYU-1486,Atlixco,nuttaliae,,,1295345582,18,Chromosome,12/28/23,JAWIZW01,336
GCA_964059225.1,daVerVern1.1,Veronica verna,195145,,,,,,,,463883710,8,Chromosome,6/5/24,CAXKWG01,155
GCA_014182885.2,ASM1418288v2,Eucalyptus caleyi,1711195,,,,,sf004,,,589323946,11,Chromosome,4/30/21,JABUKJ02,76
GCA_014182735.1,ASM1418273v1,Corymbia maculata,87660,,,,,sf003,,,403819434,11,Chromosome,8/14/20,JABKBS01,24
GCA_017140185.1,ASM1714018v1,Eucalyptus polyanthemos subsp. polyanthemos,1711482,,,,,CCA0672,,,603279611,11,Chromosome,3/9/21,JADGRY01,21
GCA_964188015.1,daVerTrip1.1,Veronica triphyllos,195143,,,,,,,,506445966,7,Chromosome,6/21/24,CAXLOK01,172
GCA_964035475.1,ddSalCapr1.1,Salix caprea,172267,,,,,,,,389070326,19,Chromosome,4/29/24,CAXIUS01,77
GCA_964197745.1,laTriPals1.1,Triglochin palustris,403040,,,,,,,,437486790,12,Chromosome,7/6/24,CAXMXD01,65
GCA_030444885.1,ASM3044488v1,Citrus sp. QX-2021,2899277,,,LW,,,,,388875744,9,Chromosome,7/13/23,JAUJEF01,739
GCA_016097605.1,ASM1609760v1,Eucalyptus guilfoylei,183827,,,,,CCA5924,,,472356222,11,Chromosome,12/17/20,JADPVU01,13
GCA_022379115.2,ASM2237911v2,Bauhinia variegata,167791,,,,,BV-YZ2020,,Annotation submitted by Sun Yat-sen University,326365182,14,Chromosome,6/6/22,JAKRYI02,410
GCA_014182555.1,ASM1418255v1,Eucalyptus erythrocorys,34314,,,,,ANBG9806156,,,539196946,11,Chromosome,8/14/20,JABKBL01,12
